Material,MACO/HL 
3337,205.53431908081342
3507,194.93810228253017
6108,153.5932773154255
9937,133.78316774349443
10611,164.70856008546494
10946,151.67697536663465
10947,198.10519699059
10957,139.22370510291873
10958,160.4589477108882
17028,173.54500417734366
20527,213.33938343651334
20614,163.90124527785576
30822,136.59205000362996
33335,194.6746045982823
40093,177.83250646735536
48537,132.75250802300212
53566,213.53954605383308
54232,222.490190756556
59873,201.34268942625908
59874,212.61061196252405
59942,140.06128597228638
61629,191.4917909733406
61684,212.2028211284287
61685,185.87333674960993
61687,159.91309976804698
62474,114.39452827616165
63285,155.25993047629993
63445,176.9156164521101
63466,213.93963302572786
64272,220.50751008764638
64590,160.50953733420903
64601,208.09406367870136
64665,133.976245909451
66719,200.70674950268258
66989,169.29478294616024
68280,103.77477542793207
68431,190.25076276314104
69490,150.92814800046884
70225,203.13525667611924
70601,183.9333482667284
70605,102.19407262965846
71316,162.5398860437049
72413,208.37504238151166
72414,131.94426199967637
72434,141.90643174751176
74342,208.72655949778783
74529,125.46848162748375
75909,171.60004424072213
76828,131.29538868673384
76952,220.62195340477314
77034,200.4802411509059
77311,156.95078413489023
77313,111.91231673694807
77589,141.27535087357714
77721,164.29998295182003
78123,216.36882901080878
78356,115.41859858178108
79894,169.6094733100419
79923,188.64011031639944
81408,169.14057231497466
81410,201.86346311467088
82315,168.2634752118331
