user,groupement,postal_code,street,Sous_groupement,m2_id,m1_id,dept
29378784,INDEPENDANTS,62570.0,PLACE JEAN JAURES,ALLAN,FR01_ON_2000,FR01_ON_2006,62.0
29378785,C10,62120.0,261 RUE DE LA LIGNE,BEDAGUE,FR01_ON_1000,FR01_ON_1004,62.0
29378892,DISTRIBOISSONS,62600.0,CHEMN DES SUREAUX,AU COMPTOIR DU LITTORAL (Berck sur Mer),FR01_ON_2000,FR01_ON_2004,62.0
29378895,DISTRIBOISSONS,62610.0,RUE VERNANDIQUE,SDFB,FR01_ON_2000,FR01_ON_2005,62.0
29378896,C10,6510.0,5IEME AVENUE 16IEME RUE,BONIFASSI,FR01_ON_6000,FR01_ON_6004,6.0
29378933,DISTRIBOISSONS,6340.0,AVENUE DU GÉNÉRAL DE GAULLE,Maistre (Drap),FR01_ON_6000,FR01_ON_6004,6.0
29378966,DISTRIBOISSONS,17182.0,RUE JACQUES DE VAUCANSON,LA ROCHELLE BOISSONS,FR01_ON_1200,FR01_ON_1204,17.0
29378967,DISTRIBOISSONS,17320.0,RUE JEAN MOULIN,LA ROCHELLE BOISSONS,FR01_ON_1200,FR01_ON_1204,17.0
29378992,C10,83130.0,AVENUE NICOLAS FABBRI DE PEIRES,DISTRIBUTION vins boissons (La Garde),FR01_ON_6000,FR01_ON_6007,83.0
29379001,DISTRIBOISSONS,76430.0,ZAC DE ROGERVILLE OUDALLE,PROXI BOISSONS GRAU,FR01_ON_9000,FR01_ON_9004,76.0
29379002,C10,77176.0,10 RUE DU LAITON ,CHIFFOLEAU,FR01_ON_8000,FR01_ON_8001,77.0
29379015,C10,88600.0,8 RUE DE LA VOLOGNE,REGA,FR01_ON_3000,FR01_ON_3004,88.0
29379058,FRANCE BOISSONS,67118.0,5 IMPASSE DES IMPRIMEURS,France BOISSONS,FR01_ON_3000,FR01_ON_3005,67.0
29379067,C10,68600.0,12 RUE POURQUOI PAS,ABEDIS,FR01_ON_3000,FR01_ON_3005,68.0
29379089,C10,64130.0,RUE MAULEON,PINQUE,FR01_ON_1300,FR01_ON_1305,64.0
29379101,C10,72300.0,7 RUE SAINT LAURENT,STOKBOX,FR01_ON_9000,FR01_ON_9002,72.0
29379116,DISTRIBOISSONS,68116.0,7 RUE DE LA GROSSE PIERRE/ZI DE LA DOLLER,ADAM,FR01_ON_3000,FR01_ON_3005,68.0
29379236,C10,29260.0,RUE DE SAINT EXUPERY ZA MESCODEN,COZIGOU  ,FR01_ON_1100,FR01_ON_1102,29.0
29379283,C10,38760.0,4 Rue de l'Industrie,RAD,FR01_ON_5000,FR01_ON_5003,38.0
29379360,C10,33260.0,AVENUE GUSTAVE EIFFEL,LE BIHAN,FR01_ON_1200,FR01_ON_1203,33.0
29379363,DISTRIBOISSONS,33500.0,RUE FRANCOIS VIDAL,RG LAVIALE,FR01_ON_1300,FR01_ON_1306,33.0
29379377,DISTRIBOISSONS,49240.0,CH BOCAGE ZI VIOLETTE,Sarthe Anjou Boissons,FR01_ON_1100,FR01_ON_1105,49.0
29379437,DISTRIBOISSONS,56400.0,KERIQUELLAN EN BRECH,OUEST BOISSONS,FR01_ON_1100,FR01_ON_1103,56.0
29379537,DISTRIBOISSONS,6800.0,4 RUE DU PUITS,MONTANER,FR01_ON_6000,FR01_ON_6004,68.0
29379538,C10,7170.0,Z I   AUBENAS LAVILLEDIEU,BOISSONS SOFABO SA,FR01_ON_4000,FR01_ON_4004,71.0
29379556,DISTRIBOISSONS,14730.0,ZI DU MARTRAY,PROXI BOISSONS GRAU,FR01_ON_9000,FR01_ON_9006,14.0
29379566,C10,74230.0,ZA LES ILES,CAVES DU MONT,FR01_ON_4000,FR01_ON_4001,74.0
29379593,DISTRIBOISSONS,79000.0,18 RUE DU PIED DE FOND,LA ROCHELLE BOISSONS,FR01_ON_1200,FR01_ON_1202,79.0
29379604,DISTRIBOISSONS,7100.0,PAE DE MARENTON CHEMIN PORTE BROC,ANNONAY BOISSONS,FR01_ON_4000,FR01_ON_4004,71.0
29379608,INDEPENDANTS,46310.0,LE BOURG,DEVIERS FRESQUET BOISSONS,FR01_ON_1200,FR01_ON_1205,46.0
29379609,C10,47110.0,ROUTE DE ROGAS,MOLINIE BOISSONS,FR01_ON_1300,FR01_ON_1306,47.0
29379610,C10,49620.0,84 RUE D'ANJOU,ETS PLUMEJEAU,FR01_ON_1100,FR01_ON_1105,49.0
29379611,C10,50530.0,ROUTE DE CAROLLES,MALPLANCHE,FR01_ON_9000,FR01_ON_9001,50.0
29379612,C10,51530.0,ZI RUE DES ORMISSETS,DOQUET,FR01_ON_3000,FR01_ON_3001,51.0
29379613,C10,51100.0,13 bis RUE DU VAL CLAIR,SOREDIS,FR01_ON_3000,FR01_ON_3001,51.0
29379615,INDEPENDANTS,53000.0,BOULEVARD LEON BOLLEE,OUEST BOISSONS,FR01_ON_9000,FR01_ON_9002,53.0
29379618,DISTRIBOISSONS,34070.0,140  RUE DU MAS BRINGAUD,MONTANER,FR01_ON_6000,FR01_ON_6003,34.0
29379619,C10,34200.0,Z I   LES EAUX BLANCHES,FOUILLADE LUCIEN,FR01_ON_6000,FR01_ON_6005,34.0
29379620,C10,34350.0,ZA VIA EUROPA 2 RUE DE LISBONNE,BOISSONS DISTRIBUTION,FR01_ON_6000,FR01_ON_6003,34.0
